Date Egg,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo),Comments,ID
11.11.07,39.1,18.7,181,3750,MALE,,,Not enough blood for isotopes.,892315
11.11.07,39.5,17.4,186,3800,FEMALE,8.94956,-24.69454,,773769
16.11.07,40.3,18,195,3250,FEMALE,8.36821,-25.33302,,850506
16.11.07,,,,,,,,Adult not sampled.,275751
16.11.07,36.7,19.3,193,3450,FEMALE,8.76651,-25.32426,,161453
16.11.07,39.3,20.6,190,3650,MALE,8.66496,-25.29805,,760268
15.11.07,38.9,17.8,181,3625,FEMALE,9.18718,-25.21799,Nest never observed with full clutch.,1100285
15.11.07,39.2,19.6,195,4675,MALE,9.4606,-24.89958,Nest never observed with full clutch.,757806
09.11.07,34.1,18.1,193,3475,,,,No blood sample obtained.,1020464
09.11.07,42,20.2,190,4250,,9.13362,-25.09368,No blood sample obtained for sexing.,385224
09.11.07,37.8,17.1,186,3300,,8.63243,-25.21315,No blood sample obtained for sexing.,1136922
09.11.07,37.8,17.3,180,3700,,,,No blood sample obtained.,394246
15.11.07,41.1,17.6,182,3200,FEMALE,,,Not enough blood for isotopes.,905630
15.11.07,38.6,21.2,191,3800,MALE,,,Not enough blood for isotopes.,1214888
16.11.07,34.6,21.1,198,4400,MALE,8.55583,-25.22588,,377961
16.11.07,36.6,17.8,185,3700,FEMALE,,,Not enough blood for isotopes.,296878
12.11.07,38.7,19,195,3450,FEMALE,9.18528,-25.06691,,516599
12.11.07,42.5,20.7,197,4500,MALE,8.67538,-25.13993,,641115
16.11.07,34.4,18.4,184,3325,FEMALE,8.47827,-25.23319,,746862
16.11.07,46,21.5,194,4200,MALE,9.11616,-24.77227,,66209
12.11.07,37.8,18.3,174,3400,FEMALE,8.73762,-25.09383,,458665
12.11.07,37.7,18.7,180,3600,MALE,8.66271,-25.0639,,727299
12.11.07,35.9,19.2,189,3800,FEMALE,9.22286,-25.03474,,1190641
12.11.07,38.2,18.1,185,3950,MALE,8.43423,-25.22664,,87411
10.11.07,38.8,17.2,180,3800,MALE,9.63954,-25.29856,,540802
10.11.07,35.3,18.9,187,3800,FEMALE,9.21292,-24.3613,,975689
12.11.07,40.6,18.6,183,3550,MALE,8.93997,-25.36288,,222529
12.11.07,40.5,17.9,187,3200,FEMALE,8.08138,-25.49448,,44593
10.11.07,37.9,18.6,172,3150,FEMALE,8.38404,-25.19837,Nest never observed with full clutch.,1019919
10.11.07,40.5,18.9,180,3950,MALE,8.90027,-25.11609,Nest never observed with full clutch.,1083656
09.11.07,39.5,16.7,178,3250,FEMALE,9.69756,-25.11223,,23167
09.11.07,37.2,18.1,178,3900,MALE,9.72764,-25.0102,,163196
09.11.07,39.5,17.8,188,3300,FEMALE,9.66523,-25.0602,,485219
09.11.07,40.9,18.9,184,3900,MALE,8.79665,-25.14591,,681846
16.11.07,36.4,17,195,3325,FEMALE,9.17847,-25.23061,,946913
16.11.07,39.2,21.1,196,4150,MALE,9.15308,-25.03469,,365494
16.11.07,38.8,20,190,3950,MALE,9.18985,-25.12255,,186097
16.11.07,42.2,18.5,180,3550,FEMALE,8.04787,-25.49523,,813458
13.11.07,37.6,19.3,181,3300,FEMALE,9.41131,-25.04169,Nest never observed with full clutch.,798578
13.11.07,39.8,19.1,184,4650,MALE,,,Nest never observed with full clutch. Not enough blood for isotopes.,754944
16.11.07,36.5,18,182,3150,FEMALE,9.68933,-24.4228,,1229894
16.11.07,40.8,18.4,195,3900,MALE,,,Not enough blood for isotopes.,117181
19.11.07,36,18.5,186,3100,FEMALE,9.50772,-25.03492,,794265
19.11.07,44.1,19.7,196,4400,MALE,9.2372,-24.52698,,688619
16.11.07,37,16.9,185,3000,FEMALE,9.36392,-25.01745,,184819
16.11.07,39.6,18.8,190,4600,MALE,9.49106,-24.10255,,730249
13.11.07,41.1,19,182,3425,MALE,,,Not enough blood for isotopes.,44719
13.11.07,37.5,18.9,179,2975,,,,Sexing primers did not amplify. Not enough blood for isotopes.,482059
13.11.07,36,17.9,190,3450,FEMALE,9.51784,-25.07683,,307293
13.11.07,42.3,21.2,191,4150,MALE,8.87988,-25.18543,,766556
06.11.08,39.6,17.7,186,3500,FEMALE,8.46616,-26.12989,,342939
06.11.08,40.1,18.9,188,4300,MALE,8.51362,-26.55602,,740877
09.11.08,35,17.9,190,3450,FEMALE,8.19539,-26.17213,,552590
09.11.08,42,19.5,200,4050,MALE,8.48095,-26.3146,,179537
09.11.08,34.5,18.1,187,2900,FEMALE,8.41837,-26.54718,,1026682
09.11.08,41.4,18.6,191,3700,MALE,8.35396,-26.27853,,790505
15.11.08,39,17.5,186,3550,FEMALE,8.57199,-26.07188,,442357
15.11.08,40.6,18.8,193,3800,MALE,8.56674,-25.98843,,176154
15.11.08,36.5,16.6,181,2850,FEMALE,9.07878,-25.88156,,629197
15.11.08,37.6,19.1,194,3750,MALE,9.108,-25.89677,,481108
13.11.08,35.7,16.9,185,3150,FEMALE,8.96472,-26.40943,,681053
13.11.08,41.3,21.1,195,4400,MALE,8.74802,-26.37809,,579581
13.11.08,37.6,17,185,3600,FEMALE,8.58063,-26.21569,,874533
13.11.08,41.1,18.2,192,4050,MALE,8.62264,-26.60023,,1107604
13.11.08,36.4,17.1,184,2850,FEMALE,8.62623,-26.1165,,572519
13.11.08,41.6,18,192,3950,MALE,8.85562,-26.09294,,732340
06.11.08,35.5,16.2,195,3350,FEMALE,8.56192,-25.95541,,47217
06.11.08,41.1,19.1,188,4100,MALE,8.71078,-25.81012,,912447
11.11.08,35.9,16.6,190,3050,FEMALE,8.47781,-26.07821,Nest never observed with full clutch.,274366
11.11.08,41.8,19.4,198,4450,MALE,8.86853,-26.06209,Nest never observed with full clutch.,1144650
14.11.08,33.5,19,190,3600,FEMALE,7.88863,-26.63085,,622942
14.11.08,39.7,18.4,190,3900,MALE,9.29808,-25.23453,,951567
